1    ;	0.9986;     -0.0406;     0.0311;     -0.0058;     0.3154;     -0.0305;     0.5933;
2    ;	0.9987;     -0.0360;     0.0351;     -0.0041;     0.3145;     -0.0304;     0.5935;
3    ;	0.0000;     0.9992;     0.0000;     0.0385;     0.2217;     0.1036;     0.5587;
4    ;	0.0015;     0.9983;     -0.0424;     0.0384;     0.2010;     0.1424;     0.5397;
5    ;	-0.0310;     0.9978;     -0.0435;     0.0372;     0.2042;     0.1596;     0.5066;
6    ;	-0.0963;     0.9936;     -0.0459;     0.0343;     0.1944;     0.1760;     0.4977;
7    ;	-0.0969;     0.9944;     -0.0245;     0.0322;     0.2008;     0.0889;     0.4827;
8    ;	-0.0965;     0.9949;     -0.0265;     0.0107;     0.2277;     0.0942;     0.4843;
9    ;	-0.0964;     0.9949;     -0.0264;     0.0106;     0.2686;     0.0624;     0.4870;
10   ;	-0.0943;     0.9932;     -0.0329;     -0.0592;     0.2468;     0.0590;     0.5027;
11   ;	-0.0944;     0.9932;     -0.0331;     -0.0591;     0.2592;     0.0145;     0.4891;
12   ;	-0.0936;     0.9915;     -0.0351;     -0.0823;     0.2631;     -0.0053;     0.4902;
13   ;	-0.0935;     0.9915;     -0.0352;     -0.0823;     0.2748;     -0.0192;     0.4895;
14   ;	-0.0940;     0.9924;     -0.0354;     -0.0702;     0.2779;     -0.0353;     0.4904;
15   ;	0.0370;     0.9962;     -0.0419;     -0.0655;     0.2700;     0.0074;     0.5058;
16   ;	0.0434;     0.9959;     0.0488;     -0.0619;     0.2638;     -0.0817;     0.5137;
17   ;	0.0410;     0.9970;     0.0107;     -0.0635;     0.2598;     -0.1341;     0.5088;
18   ;	0.2361;     0.9695;     -0.0027;     -0.0642;     0.2565;     -0.1623;     0.5084;
19   ;	0.2395;     0.9680;     0.0593;     -0.0504;     0.2656;     -0.1517;     0.5339;
20   ;	0.2370;     0.9681;     0.0206;     -0.0784;     0.2681;     -0.1407;     0.5104;
